A001n_PN1c_00001-5	reltype=ob	['９', '年', 'し', '留学']	９５―９７年、中国・北京大に留学し、帰国後に双子を出産。	['1', '4', '6', '13']
A012n_PN4g_00001-29	reltype=before	['九', '年', 'かけ', 'さ', '疑い', '持た']	[JSP]首相は外相だった一九九八―九九年にかけ、ギリシャのリゾート買収で便宜を図る見返りに、息子を通じイスラエル人実業家から現金三百万ドルの支払いを約束された疑いが持たれていた。	['8', '9', '12', '13', '14', '16']
A012n_PN4g_00001-33	reltype=overlap	['十', '日', '行っ']	[JSP]ブッシュ米大統領は十五日、ホワイトハウスで訪米中のアフガニスタンのカルザイ大統領と首脳会談を行った。	['6', '8', '24']
A012n_PN4g_00001-35	reltype=vague	['今年', '月', '延期', '続き']	[JSP]アフガンでは、有権者登録など手続きの遅れや治安上の問題から、今年六月から九月への延期に続き、選挙が再延期される可能性が指摘されており、カルザイ大統領は米国の支援強化により、こうした懸念を払しょく、予定通りの選挙実現を図りたい考えだ。	['20', '22', '25', '28']
A012n_PN4g_00001-35	reltype=after	['九', '月', '延期', '続き', 'さ', '性', 'さ', '指摘']	[JSP]アフガンでは、有権者登録など手続きの遅れや治安上の問題から、今年六月から九月への延期に続き、選挙が再延期される可能性が指摘されており、カルザイ大統領は米国の支援強化により、こうした懸念を払しょく、予定通りの選挙実現を図りたい考えだ。	['22', '24', '25', '28', '30', '35', '36', '39']
A012n_PN4g_00001-35	reltype=after	['九', '月', '延期', '続き', 'さ', '性', 'さ', '考え', '図り']	[JSP]アフガンでは、有権者登録など手続きの遅れや治安上の問題から、今年六月から九月への延期に続き、選挙が再延期される可能性が指摘されており、カルザイ大統領は米国の支援強化により、こうした懸念を払しょく、予定通りの選挙実現を図りたい考えだ。	['22', '24', '25', '28', '30', '35', '36', '39', '42']
A012n_PN4g_00001-36	reltype=overlap	['今月', '下旬', '開か']	[JSP]アフガン問題は今月下旬にイスタンブールで開かれるＮＡＴＯ首脳会議で議題となる見通し。	['5', '6', '10']
A012n_PN4g_00001-36	reltype=overlap	['今月', '下旬', '開か', '会議', 'なる']	[JSP]アフガン問題は今月下旬にイスタンブールで開かれるＮＡＴＯ首脳会議で議題となる見通し。	['5', '6', '10', '14', '18']
A013n_PN1a_00002-6	reltype=vague	['５', '制', '共働き', '増え']	昔は一律に行われてきたが、最近は、学校５日制や共働きが増えたことで、廃止したり面談や懇談会に切り替えたりするケースもある。	['16', '18', '20', '22']
A013n_PN1a_00002-6	reltype=vague	['５', '制', '共働き', '増え', 'こと', 'し', '廃止']	昔は一律に行われてきたが、最近は、学校５日制や共働きが増えたことで、廃止したり面談や懇談会に切り替えたりするケースもある。	['16', '18', '20', '22', '24', '27', '28']
A013n_PN1a_00002-6	reltype=vague	['５', '制', '共働き', '増え', 'こと', 'し', 'する', '切り替え']	昔は一律に行われてきたが、最近は、学校５日制や共働きが増えたことで、廃止したり面談や懇談会に切り替えたりするケースもある。	['16', '18', '20', '22', '24', '28', '35', '37']
A013n_PN1a_00002-6	reltype=vague	['５', '制', '共働き', '増え', 'こと', 'し', 'する']	昔は一律に行われてきたが、最近は、学校５日制や共働きが増えたことで、廃止したり面談や懇談会に切り替えたりするケースもある。	['16', '18', '20', '22', '24', '28', '37']
A013n_PN1a_00002-6	reltype=vague	['５', '制', '共働き', '増え', 'こと', 'し', 'する', 'ケース', 'ある']	昔は一律に行われてきたが、最近は、学校５日制や共働きが増えたことで、廃止したり面談や懇談会に切り替えたりするケースもある。	['16', '18', '20', '22', '24', '28', '37', '38', '40']
A013n_PN1a_00002-10	reltype=overlap	['昨年', 'やめ']	[JSP]埼玉県の草加市立八幡小学校は昨年、家庭訪問をやめ、代わりに「地域訪問」に切り替えた。	['12', '17']
A013n_PN1a_00002-10	reltype=overlap	['昨年', 'やめ', '切り替え']	[JSP]埼玉県の草加市立八幡小学校は昨年、家庭訪問をやめ、代わりに「地域訪問」に切り替えた。	['12', '17', '26']
A013n_PN1a_00002-13	reltype=overlap	['５', '日', 'かけ']	それ以前は５日かけ家庭訪問していたが、地域訪問は２日。	['4', '5', '6']
A013n_PN1a_00002-13	reltype=overlap	['５', '日', 'かけ', 'し', '家庭']	それ以前は５日かけ家庭訪問していたが、地域訪問は２日。	['4', '5', '6', '7', '9']
A013n_PN1a_00002-15	reltype=overlap	['来年', '制', 'なる']	「来年からは５日制が完全実施になる。少しでも時間を大切にしたい」と同校の川野清教頭は説明する。	['2', '7', '12']
A013n_PN1a_00002-28	reltype=overlap	['昨年', 'やめ']	静岡県下田市の下田小学校は昨年、地域訪問をやめ、家庭訪問を復活させた。	['10', '15']
A013n_PN1a_00002-28	reltype=overlap	['昨年', 'やめ', 'さ', '復活']	静岡県下田市の下田小学校は昨年、地域訪問をやめ、家庭訪問を復活させた。	['10', '15', '20', '21']
A013n_PN1a_00002-30	reltype=after	['今後', '関係', 'する', '求め']	[JSP]だが、藤井秀喜校長は、「家庭との連携が求められている。その場での成果は求めず、むしろ今後の関係をスムーズにするための『顔あわせ』と位置づけた」という。	['16', '27', '31', '33']
A013n_PN1a_00002-30	reltype=overlap	['今後', '関係', 'する']	[JSP]だが、藤井秀喜校長は、「家庭との連携が求められている。その場での成果は求めず、むしろ今後の関係をスムーズにするための『顔あわせ』と位置づけた」という。	['31', '33', '37']
A013n_PN1a_00002-30	reltype=after	['今後', '関係', 'する', '顔あわせ', 'づけ', '位置']	[JSP]だが、藤井秀喜校長は、「家庭との連携が求められている。その場での成果は求めず、むしろ今後の関係をスムーズにするための『顔あわせ』と位置づけた」という。	['31', '33', '37', '41', '44', '45']
A013n_PN1a_00002-32	reltype=overlap	['昨年', 'もどし']	だが、昨年からこの時期にもどした。	['4', '9']
A013n_PN1a_00002-35	reltype=before	['３', '年', 'あり', '務める']	[JSP]小学校教員歴が３２年あり、千葉大学教育学部で非常勤講師を務める向山洋一さんによると、１５年ぐらい前から「玄関先だけにして」という家庭がでてきた。	['7', '9', '10', '22']
A013n_PN1a_00002-35	reltype=vague	['３', '年', 'あり', '務める', 'さん', 'で', '家庭', 'し']	[JSP]小学校教員歴が３２年あり、千葉大学教育学部で非常勤講師を務める向山洋一さんによると、１５年ぐらい前から「玄関先だけにして」という家庭がでてきた。	['7', '9', '10', '17', '22', '25', '32', '41']
A013n_PN1a_00002-35	reltype=vague	['３', '年', 'あり', '務める', 'さん', 'で']	[JSP]小学校教員歴が３２年あり、千葉大学教育学部で非常勤講師を務める向山洋一さんによると、１５年ぐらい前から「玄関先だけにして」という家庭がでてきた。	['7', '9', '10', '17', '22', '25']
A013n_PN1a_00002-35	reltype=before	['１', '年', '前', 'で', 'さん', '務める']	[JSP]小学校教員歴が３２年あり、千葉大学教育学部で非常勤講師を務める向山洋一さんによると、１５年ぐらい前から「玄関先だけにして」という家庭がでてきた。	['9', '17', '22', '25', '30', '32']
A013n_PN1a_00002-35	reltype=ob	['１', '年', '前', 'で', '家庭', 'し']	[JSP]小学校教員歴が３２年あり、千葉大学教育学部で非常勤講師を務める向山洋一さんによると、１５年ぐらい前から「玄関先だけにして」という家庭がでてきた。	['9', '17', '30', '32', '34', '41']
A013n_PN1a_00002-36	reltype=vague	['５', '導入', '少なく', '加え', 'なっ']	「共働きの増加や親がプライバシーを守りたい意識が強くなってきたのに加え、学校５日制導入で授業時間が少なくなったことが、家庭訪問見直しに拍車をかけた」と分析する。	['15', '21', '24', '27', '32']
A013n_PN1a_00002-36	reltype=vague	['５', '導入', '少なく', 'なっ', 'こと', 'かけ']	「共働きの増加や親がプライバシーを守りたい意識が強くなってきたのに加え、学校５日制導入で授業時間が少なくなったことが、家庭訪問見直しに拍車をかけた」と分析する。	['15', '24', '27', '32', '33', '35']
A013n_PN1a_00002-36	reltype=vague	['５', '導入', '少なく', 'なっ', 'こと', 'かけ', 'する', '分析']	「共働きの増加や親がプライバシーを守りたい意識が強くなってきたのに加え、学校５日制導入で授業時間が少なくなったことが、家庭訪問見直しに拍車をかけた」と分析する。	['15', '24', '27', '32', '33', '35', '44', '48']
A013n_PN1a_00002-38	reltype=overlap	['今', 'バラバラ', 'あっ', 'やら', 'やっ']	[JSP]今は、やったりやらなかったり、地域訪問や地域懇談にして時間短縮する「中間系」もあったりと、実施状況もバラバラ。	['2', '5', '7', '27', '34']
A013n_PN1a_00002-38	reltype=overlap	['今', 'バラバラ', 'あっ', 'やら']	[JSP]今は、やったりやらなかったり、地域訪問や地域懇談にして時間短縮する「中間系」もあったりと、実施状況もバラバラ。	['2', '7', '27', '34']
A013n_PN1a_00002-38	reltype=overlap	['今', 'バラバラ', 'あっ', '系', 'する', 'し']	[JSP]今は、やったりやらなかったり、地域訪問や地域懇談にして時間短縮する「中間系」もあったりと、実施状況もバラバラ。	['2', '17', '21', '24', '27', '34']
A013n_PN1a_00002-38	reltype=overlap	['今', 'バラバラ', 'あっ', '系', 'する', '時間']	[JSP]今は、やったりやらなかったり、地域訪問や地域懇談にして時間短縮する「中間系」もあったりと、実施状況もバラバラ。	['2', '19', '21', '24', '27', '34']
A013n_PN1a_00002-38	reltype=overlap	['今', 'バラバラ', 'あっ']	[JSP]今は、やったりやらなかったり、地域訪問や地域懇談にして時間短縮する「中間系」もあったりと、実施状況もバラバラ。	['2', '27', '34']
A013n_PN1a_00002-43	reltype=overlap	['明治', '初期', '始まっ', '目的', 'する', '通わ']	[JSP]日本大学文理学部の佐藤秀夫教授によると、家庭訪問は明治初期に、不就学児を学校に通わせるように親を説得する目的で始まったという。	['17', '18', '27', '34', '35', '37']
A013n_PN1a_00002-43	reltype=overlap	['明治', '初期', '始まっ', '目的', 'する', '説得']	[JSP]日本大学文理学部の佐藤秀夫教授によると、家庭訪問は明治初期に、不就学児を学校に通わせるように親を説得する目的で始まったという。	['17', '18', '33', '34', '35', '37']
A013n_PN1a_00002-43	reltype=before	['明治', '初期', '始まっ', 'いう']	[JSP]日本大学文理学部の佐藤秀夫教授によると、家庭訪問は明治初期に、不就学児を学校に通わせるように親を説得する目的で始まったという。	['17', '18', '37', '40']
A013n_PN1a_00002-49	reltype=vague	['１', '分', 'ため', '休み', '話せる', '本音', 'せ', '気兼ね']	１０分のために半日休み／気兼ねせずに本音話せる	['1', '3', '5', '8', '10', '11', '14', '15']
A013n_PN1a_00002-49	reltype=vague	['１', '分', 'ため', '休み', '話せる']	１０分のために半日休み／気兼ねせずに本音話せる	['1', '3', '5', '8', '15']
A013n_PN1a_00002-49	reltype=vague	['半日', '休み', '話せる', '本音', 'せ', '気兼ね']	１０分のために半日休み／気兼ねせずに本音話せる	['7', '8', '10', '11', '14', '15']
A013n_PN1a_00002-49	reltype=vague	['半日', '休み', '話せる']	１０分のために半日休み／気兼ねせずに本音話せる	['7', '8', '15']
A013n_PN1a_00002-53	reltype=after	['午後', 'もらっ', 'し', 'よう', 'なる']	兄弟の家庭訪問が同じ日になるように調整してもらい、その日の午後は休みをもらった。	['9', '10', '13', '20', '24']
A013n_PN1a_00002-53	reltype=after	['午後', 'もらっ', 'し', '調整']	兄弟の家庭訪問が同じ日になるように調整してもらい、その日の午後は休みをもらった。	['12', '13', '20', '24']
A013n_PN1a_00002-53	reltype=after	['午後', 'もらっ']	兄弟の家庭訪問が同じ日になるように調整してもらい、その日の午後は休みをもらった。	['20', '24']
A013n_PN1a_00002-54	reltype=after	['１', '程度', 'ため', 'し', 'し', '苦労']	１０分程度のために、苦労して時間をやりくりしても、雑談になることも多い。	['1', '4', '6', '9', '10', '15']
A013n_PN1a_00002-54	reltype=after	['１', '程度', 'ため', 'し', 'やりくり']	１０分程度のために、苦労して時間をやりくりしても、雑談になることも多い。	['1', '4', '6', '10', '14']
A013n_PN1a_00002-58	reltype=overlap	['今年', '会え', '受け']	[JSP]「今年から家庭訪問の時は会えなくてもいいです」と、新学期の保護者会で担任から説明を受けた。	['3', '10', '30']
A013n_PN1a_00002-71	reltype=overlap	['昔', '通さ', '見']	[JSP]昔は、「どうぞ、勉強部屋も見てください」と通されたこともあった。	['2', '11', '16']
A013n_PN1a_00002-71	reltype=overlap	['昔', '通さ']	[JSP]昔は、「どうぞ、勉強部屋も見てください」と通されたこともあった。	['2', '16']
A013n_PN1a_00002-72	reltype=overlap	['今', 'よう', '切り上げる']	今は玄関先で、短時間で切り上げるように気をつかっている。	['1', '10', '11']
A013n_PN1a_00002-72	reltype=overlap	['今', 'よう', 'つかっ']	今は玄関先で、短時間で切り上げるように気をつかっている。	['1', '11', '15']
A013n_PN1a_00002-91	reltype=vague	['３', '代', '主婦', '対象', '行っ']	ミツカンが首都圏の３０〜５０代の主婦を対象に行ったアンケートで、こんな結果が出た。	['6', '11', '13', '15', '17']
A013n_PN1a_00002-91	reltype=vague	['３', '代', '主婦', '対象', '行っ', 'アンケート', '出']	ミツカンが首都圏の３０〜５０代の主婦を対象に行ったアンケートで、こんな結果が出た。	['6', '11', '13', '15', '17', '19', '25']
A013n_PN1a_00002-91	reltype=vague	['５', '代', '主婦', '対象', '行っ']	ミツカンが首都圏の３０〜５０代の主婦を対象に行ったアンケートで、こんな結果が出た。	['9', '11', '13', '15', '17']
A013n_PN1a_00002-91	reltype=vague	['５', '代', '主婦', '対象', '行っ', 'アンケート', '出']	ミツカンが首都圏の３０〜５０代の主婦を対象に行ったアンケートで、こんな結果が出た。	['9', '11', '13', '15', '17', '19', '25']
A014n_PN1b_00002-3	reltype=overlap	['１', '年度', 'なっ']	[JSP]国立大学や高専が民間企業から研究者や研究費を受け入れて行う共同研究が、１９９９年度は過去最高の３１２９件になったことが文部科学省の調べで分かった。	['23', '27', '33']
A014n_PN1b_00002-3	reltype=before	['１', '年度', 'なっ', 'こと', '分かっ']	[JSP]国立大学や高専が民間企業から研究者や研究費を受け入れて行う共同研究が、１９９９年度は過去最高の３１２９件になったことが文部科学省の調べで分かった。	['23', '27', '33', '38', '40']
A014n_PN1b_00002-3	reltype=before	['過去', '最高', '件', 'なっ', 'こと', '分かっ']	[JSP]国立大学や高専が民間企業から研究者や研究費を受け入れて行う共同研究が、１９９９年度は過去最高の３１２９件になったことが文部科学省の調べで分かった。	['29', '30', '36', '38', '40', '48']
A014n_PN1b_00002-4	reltype=before	['前', '年度', '多く', '増加', 'なっ']	前年度より５６１件多く、２割以上の増加になった。	['1', '2', '8', '14', '16']
A014n_PN1b_00002-12	reltype=overlap	['今春', '会', '開く', 'さ', '期待']	[JSP]生涯学習社会の柱の一つとして大学通信教育の役割が期待されているが、私立大学通信教育協会は今春の合同入学説明会を２〜３月に開く。	['19', '20', '32', '37', '44']
A014n_PN1b_00002-12	reltype=overlap	['今春', '会', '開く']	[JSP]生涯学習社会の柱の一つとして大学通信教育の役割が期待されているが、私立大学通信教育協会は今春の合同入学説明会を２〜３月に開く。	['32', '37', '44']
A014n_PN1b_00002-12	reltype=overlap	['２', '月', '開く', 'さ', '期待']	[JSP]生涯学習社会の柱の一つとして大学通信教育の役割が期待されているが、私立大学通信教育協会は今春の合同入学説明会を２〜３月に開く。	['19', '20', '39', '42', '44']
A014n_PN1b_00002-12	reltype=overlap	['３', '月', '開く', 'さ', '期待']	[JSP]生涯学習社会の柱の一つとして大学通信教育の役割が期待されているが、私立大学通信教育協会は今春の合同入学説明会を２〜３月に開く。	['19', '20', '41', '42', '44']
A014n_PN1b_00002-26	reltype=overlap	['２', '最初', '選挙', '結果', 'さ', '注目']	２１世紀最初の国政選挙の結果が大いに注目される。	['1', '4', '7', '9', '12', '13']
A014n_PN1b_00002-27	reltype=overlap	['２', '日', '大会', '固め']	[JSP]野党第１党の民主党は２０日の定期大会で、参院選に向けて党の基本的スタンスを固め、政策の詰めを行った。	['10', '12', '15', '29']
A014n_PN1b_00002-27	reltype=overlap	['２', '日', '大会', '固め', '行っ']	[JSP]野党第１党の民主党は２０日の定期大会で、参院選に向けて党の基本的スタンスを固め、政策の詰めを行った。	['10', '12', '15', '29', '35']
A014n_PN1b_00002-30	reltype=ob	['１', '年', '以来', '続い']	[JSP]１９９３年の細川護熙政権誕生以来、わが国ではここ１０年近く連立政権時代が続いている。	['2', '6', '12', '19']
A014n_PN1b_00002-30	reltype=overlap	['１', '近く', '続い']	[JSP]１９９３年の細川護熙政権誕生以来、わが国ではここ１０年近く連立政権時代が続いている。	['2', '19', '22']
A014n_PN1b_00002-36	reltype=before	['昨年', '選挙', 'ステップ', '台', 'し']	党大会で鳩山由紀夫代表は「前回の参院選がホップなら、昨年の総選挙はステップ、７月の参院選はジャンプ台にしなくてはならない」と力説。	['17', '20', '22', '31', '33']
A014n_PN1b_00002-37	reltype=after	['２', '中', '詰める', 'こと', 'さ', 'さ', '提起']	さらに、「地域から、政府を代えよう！！」と参院選のための政策草案も提起され、２月中には詰めることが了承された。	['22', '23', '26', '28', '31', '32', '35']
A014n_PN1b_00002-37	reltype=overlap	['２', '中', '詰める']	さらに、「地域から、政府を代えよう！！」と参院選のための政策草案も提起され、２月中には詰めることが了承された。	['26', '28', '31']
A014n_PN1b_00002-37	reltype=after	['２', '中', '詰める', 'こと', 'さ', '了承']	さらに、「地域から、政府を代えよう！！」と参院選のための政策草案も提起され、２月中には詰めることが了承された。	['23', '26', '28', '31', '32', '34']
A015n_PN1d_00002-2	reltype=overlap	['９', '日', 'し', '発表']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['5', '6', '7', '8']
A015n_PN1d_00002-2	reltype=after	['９', '日', 'し', '高', 'なり']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['5', '6', '8', '16', '30']
A015n_PN1d_00002-2	reltype=after	['９', '日', 'し', '高', 'なり', '増', '比べ']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['5', '6', '8', '16', '30', '35', '40']
A015n_PN1d_00002-2	reltype=after	['９', '日', 'し', '高', 'なり', '増', '転じ']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['5', '6', '8', '16', '30', '40', '45']
A015n_PN1d_00002-2	reltype=before	['４', '末', '高', 'し', '発表']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['7', '8', '10', '12', '16']
A015n_PN1d_00002-2	reltype=overlap	['４', '末', '高', 'なり']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['10', '12', '16', '30']
A015n_PN1d_00002-2	reltype=overlap	['４', '末', '高', 'なり', '増', '転じ']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['10', '12', '16', '30', '33', '45']
A015n_PN1d_00002-2	reltype=before	['前月', '末', '比べ', '増', 'なり', '高', 'し', '発表']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['7', '8', '12', '16', '30', '32', '33', '35']
A015n_PN1d_00002-2	reltype=before	['前月', '末', '比べ', '増', 'なり']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['12', '30', '32', '33', '35']
A015n_PN1d_00002-2	reltype=before	['前月', '末', '比べ']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['12', '32', '33']
A015n_PN1d_00002-2	reltype=before	['前月', '末', '比べ', '増', '転じ']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['12', '32', '33', '35', '45']
A015n_PN1d_00002-2	reltype=before	['３', 'ぶり', '転じ', '増', 'なり', '高', 'し', '発表']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['7', '8', '16', '18', '30', '39', '45', '48']
A015n_PN1d_00002-2	reltype=vague	['３', 'ぶり', '転じ', '増', '比べ']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['18', '35', '39', '45', '48']
A015n_PN1d_00002-7	reltype=overlap	['８', '日', '語り', '大統領', 'し', '指揮']	[JSP]米国のエネルギー政策見直しを指揮しているチェイニー副大統領は８日、ＣＮＮテレビのインタビューで「環境対策、経済性の両面から原子力（発電）は好ましい選択肢だ」と語り、１７日に公表される見通しのブッシュ政権のエネルギー政策の大綱で、１９７０年代から事実上、凍結されている原子力発電所の新規建設を打ち出す考えを示した。	['8', '9', '14', '16', '17', '45']
A015n_PN1d_00002-7	reltype=overlap	['８', '日', '語り']	[JSP]米国のエネルギー政策見直しを指揮しているチェイニー副大統領は８日、ＣＮＮテレビのインタビューで「環境対策、経済性の両面から原子力（発電）は好ましい選択肢だ」と語り、１７日に公表される見通しのブッシュ政権のエネルギー政策の大綱で、１９７０年代から事実上、凍結されている原子力発電所の新規建設を打ち出す考えを示した。	['16', '17', '45']
A015n_PN1d_00002-7	reltype=before	['８', '日', '語り', '示し', '大綱', '見通し', 'さ', '公表']	[JSP]米国のエネルギー政策見直しを指揮しているチェイニー副大統領は８日、ＣＮＮテレビのインタビューで「環境対策、経済性の両面から原子力（発電）は好ましい選択肢だ」と語り、１７日に公表される見通しのブッシュ政権のエネルギー政策の大綱で、１９７０年代から事実上、凍結されている原子力発電所の新規建設を打ち出す考えを示した。	['16', '17', '45', '49', '51', '52', '54', '62']
A015n_PN1d_00002-7	reltype=overlap	['８', '日', '語り', '示し', '考え', '打ち出す', '建設', 'さ', '凍結']	[JSP]米国のエネルギー政策見直しを指揮しているチェイニー副大統領は８日、ＣＮＮテレビのインタビューで「環境対策、経済性の両面から原子力（発電）は好ましい選択肢だ」と語り、１７日に公表される見通しのブッシュ政権のエネルギー政策の大綱で、１９７０年代から事実上、凍結されている原子力発電所の新規建設を打ち出す考えを示した。	['16', '17', '45', '49', '52', '75', '76', '86', '88']
A015n_PN1d_00002-7	reltype=before	['８', '日', '語り', '示し', '考え', '打ち出す']	[JSP]米国のエネルギー政策見直しを指揮しているチェイニー副大統領は８日、ＣＮＮテレビのインタビューで「環境対策、経済性の両面から原子力（発電）は好ましい選択肢だ」と語り、１７日に公表される見通しのブッシュ政権のエネルギー政策の大綱で、１９７０年代から事実上、凍結されている原子力発電所の新規建設を打ち出す考えを示した。	['16', '17', '45', '49', '88', '89']
A015n_PN1d_00002-7	reltype=overlap	['８', '日', '語り', '示し']	[JSP]米国のエネルギー政策見直しを指揮しているチェイニー副大統領は８日、ＣＮＮテレビのインタビューで「環境対策、経済性の両面から原子力（発電）は好ましい選択肢だ」と語り、１７日に公表される見通しのブッシュ政権のエネルギー政策の大綱で、１９７０年代から事実上、凍結されている原子力発電所の新規建設を打ち出す考えを示した。	['16', '17', '45', '49']
A015n_PN1d_00002-7	reltype=overlap	['１', '日', 'さ', '見通し', '大綱', '示し', '語り', '大統領', 'し', '指揮']	[JSP]米国のエネルギー政策見直しを指揮しているチェイニー副大統領は８日、ＣＮＮテレビのインタビューで「環境対策、経済性の両面から原子力（発電）は好ましい選択肢だ」と語り、１７日に公表される見通しのブッシュ政権のエネルギー政策の大綱で、１９７０年代から事実上、凍結されている原子力発電所の新規建設を打ち出す考えを示した。	['8', '9', '14', '17', '45', '47', '49', '52', '54', '62']
A015n_PN1d_00002-7	reltype=after	['１', '日', 'さ', '見通し', '大綱', '示し', '語り']	[JSP]米国のエネルギー政策見直しを指揮しているチェイニー副大統領は８日、ＣＮＮテレビのインタビューで「環境対策、経済性の両面から原子力（発電）は好ましい選択肢だ」と語り、１７日に公表される見通しのブッシュ政権のエネルギー政策の大綱で、１９７０年代から事実上、凍結されている原子力発電所の新規建設を打ち出す考えを示した。	['17', '45', '47', '49', '52', '54', '62']
A015n_PN1d_00002-7	reltype=overlap	['１', '日', 'さ', '公表']	[JSP]米国のエネルギー政策見直しを指揮しているチェイニー副大統領は８日、ＣＮＮテレビのインタビューで「環境対策、経済性の両面から原子力（発電）は好ましい選択肢だ」と語り、１７日に公表される見通しのブッシュ政権のエネルギー政策の大綱で、１９７０年代から事実上、凍結されている原子力発電所の新規建設を打ち出す考えを示した。	['17', '47', '49', '51']
A015n_PN1d_00002-7	reltype=overlap	['１', '日', 'さ', '見通し', '大綱', '示し', '考え', '打ち出す', '建設', 'さ', '凍結']	[JSP]米国のエネルギー政策見直しを指揮しているチェイニー副大統領は８日、ＣＮＮテレビのインタビューで「環境対策、経済性の両面から原子力（発電）は好ましい選択肢だ」と語り、１７日に公表される見通しのブッシュ政権のエネルギー政策の大綱で、１９７０年代から事実上、凍結されている原子力発電所の新規建設を打ち出す考えを示した。	['17', '47', '49', '52', '54', '62', '65', '75', '76', '86', '88']
A015n_PN1d_00002-7	reltype=overlap	['１', '日', 'さ', '見通し', '大綱', '示し', '考え', '打ち出す']	[JSP]米国のエネルギー政策見直しを指揮しているチェイニー副大統領は８日、ＣＮＮテレビのインタビューで「環境対策、経済性の両面から原子力（発電）は好ましい選択肢だ」と語り、１７日に公表される見通しのブッシュ政権のエネルギー政策の大綱で、１９７０年代から事実上、凍結されている原子力発電所の新規建設を打ち出す考えを示した。	['17', '47', '49', '52', '54', '62', '65', '76']
A015n_PN1d_00002-7	reltype=after	['１', '日', 'さ', '見通し', '大綱', '示し']	[JSP]米国のエネルギー政策見直しを指揮しているチェイニー副大統領は８日、ＣＮＮテレビのインタビューで「環境対策、経済性の両面から原子力（発電）は好ましい選択肢だ」と語り、１７日に公表される見通しのブッシュ政権のエネルギー政策の大綱で、１９７０年代から事実上、凍結されている原子力発電所の新規建設を打ち出す考えを示した。	['17', '47', '49', '52', '54', '62']
A015n_PN1d_00002-7	reltype=before	['１', '代', 'さ', '建設', '打ち出す', '考え', '示し', '語り', '大統領', 'し', '指揮']	[JSP]米国のエネルギー政策見直しを指揮しているチェイニー副大統領は８日、ＣＮＮテレビのインタビューで「環境対策、経済性の両面から原子力（発電）は好ましい選択肢だ」と語り、１７日に公表される見通しのブッシュ政権のエネルギー政策の大綱で、１９７０年代から事実上、凍結されている原子力発電所の新規建設を打ち出す考えを示した。	['8', '9', '14', '45', '47', '52', '65', '70', '76', '86', '88']
A015n_PN1d_00002-7	reltype=before	['１', '代', 'さ', '建設', '打ち出す', '考え', '示し', '語り']	[JSP]米国のエネルギー政策見直しを指揮しているチェイニー副大統領は８日、ＣＮＮテレビのインタビューで「環境対策、経済性の両面から原子力（発電）は好ましい選択肢だ」と語り、１７日に公表される見通しのブッシュ政権のエネルギー政策の大綱で、１９７０年代から事実上、凍結されている原子力発電所の新規建設を打ち出す考えを示した。	['45', '47', '52', '65', '70', '76', '86', '88']
